Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Previsão (%);Abstenção;Inscritos_totais;abstenção_totais;Cor1;Visão
2025; Totais;10850615;5610548;148618;192396;CDU;439546;16;0,0783;0,4515;10850615;0,44;#006699;Histórico
2025; Totais;10850615;5610548;148618;192396;CH;391626;23;0,0698;0,4515;10850615;0,44;#201f58;Histórico
2025; Totais;10850615;5610548;148618;192396;L;295785;3;0,0527;0,4515;10850615;0,44;#000000;Histórico
2025; Totais;10850615;5610548;148618;192396;PAN;213163;4;0,038;0,4515;10850615;0,44;#518196;Histórico
2024;Aveiro;642086;423734;7030;4528;AD;148861;7;0,35;0,340066595;10813643;0,4016;#FFA500;Histórico
2024;Aveiro;642086;423734;7030;4528;BE;17383;0;0,04;0,340066595;10813643;0,4016;#db0812;Histórico
2024;Aveiro;642086;423734;7030;4528;CDU;5829;0;0,01;0,340066595;10813643;0,4016;#006699;Histórico
2024;Aveiro;642086;423734;7030;4528;CH;73122;3;0,17;0,340066595;10813643;0,4016;#201f58;Histórico
2024;Aveiro;642086;423734;7030;4528;IL;21671;1;0,05;0,340066595;10813643;0,4016;#00aeee;Histórico
2024;Aveiro;642086;423734;7030;4528;L;9519;0;0,02;0,340066595;10813643;0,4016;#000000;Histórico
2024;Aveiro;642086;423734;7030;4528;PAN;7302;0;0,02;0,340066595;10813643;0,4016;#518196;Histórico
2024;Aveiro;642086;423734;7030;4528;PS;117369;5;0,28;0,340066595;10813643;0,4016;#FFC0CB;Histórico
2024;Beja;119102;76994;1172;935;AD;12890;1;0,17;0,3535457;10813643;0,4016;#FFA500;Histórico
2024;Beja;119102;76994;1172;935;BE;3393;0;0,04;0,3535457;10813643;0,4016;#db0812;Histórico
2024;Beja;119102;76994;1172;935;CDU;11570;0;0,15;0,3535457;10813643;0,4016;#006699;Histórico
2024;Beja;119102;76994;1172;935;CH;16595;1;0,22;0,3535457;10813643;0,4016;#201f58;Histórico
2024;Beja;119102;76994;1172;935;IL;1708;0;0,02;0,3535457;10813643;0,4016;#00aeee;Histórico
2024;Beja;119102;76994;1172;935;L;1369;0;0,02;0,3535457;10813643;0,4016;#000000;Histórico
2024;Beja;119102;76994;1172;935;PAN;943;0;0,01;0,3535457;10813643;0,4016;#518196;Histórico
2024;Beja;119102;76994;1172;935;PS;24408;1;0,32;0,3535457;10813643;0,4016;#FFC0CB;Histórico
2024;Braga;780164;556358;9590;5162;AD;184493;8;0,33;0,286870453;10813643;0,4016;#FFA500;Histórico
2024;Braga;780164;556358;9590;5162;BE;21403;0;0,04;0,286870453;10813643;0,4016;#db0812;Histórico
2024;Braga;780164;556358;9590;5162;CDU;10130;0;0,02;0,286870453;10813643;0,4016;#006699;Histórico
2024;Braga;780164;556358;9590;5162;CH;93859;4;0,17;0,286870453;10813643;0,4016;#201f58;Histórico
2024;Braga;780164;556358;9590;5162;IL;33935;1;0,06;0,286870453;10813643;0,4016;#00aeee;Histórico
2024;Braga;780164;556358;9590;5162;L;12928;0;0,02;0,286870453;10813643;0,4016;#000000;Histórico
2024;Braga;780164;556358;9590;5162;PAN;7936;0;0,01;0,286870453;10813643;0,4016;#518196;Histórico
2024;Braga;780164;556358;9590;5162;PS;157123;6;0,28;0,286870453;10813643;0,4016;#FFC0CB;Histórico
2024;Bragança;134213;72664;892;966;AD;29069;2;0,4;0,45859194;10813643;0,4016;#FFA500;Histórico
2024;Bragança;134213;72664;892;966;BE;1403;0;0,02;0,45859194;10813643;0,4016;#db0812;Histórico
2024;Bragança;134213;72664;892;966;CDU;774;0;0,01;0,45859194;10813643;0,4016;#006699;Histórico
2024;Bragança;134213;72664;892;966;CH;13220;0;0,18;0,45859194;10813643;0,4016;#201f58;Histórico
2024;Bragança;134213;72664;892;966;IL;1241;0;0,02;0,45859194;10813643;0,4016;#00aeee;Histórico
2024;Bragança;134213;72664;892;966;L;727;0;0,01;0,45859194;10813643;0,4016;#000000;Histórico
2024;Bragança;134213;72664;892;966;PAN;598;0;0,01;0,45859194;10813643;0,4016;#518196;Histórico
2024;Bragança;134213;72664;892;966;PS;21539;1;0,3;0,45859194;10813643;0,4016;#FFC0CB;Histórico
2024;Castelo Branco;163578;108260;1530;1447;AD;30812;1;0,28;0,33817506;10813643;0,4016;#FFA500;Histórico
2024;Castelo Branco;163578;108260;1530;1447;BE;4450;0;0,04;0,33817506;10813643;0,4016;#db0812;Histórico
2024;Castelo Branco;163578;108260;1530;1447;CDU;2373;0;0,02;0,33817506;10813643;0,4016;#006699;Histórico
2024;Castelo Branco;163578;108260;1530;1447;CH;21141;1;0,2;0,33817506;10813643;0,4016;#201f58;Histórico
2024;Castelo Branco;163578;108260;1530;1447;IL;2961;0;0,03;0,33817506;10813643;0,4016;#00aeee;Histórico
2024;Castelo Branco;163578;108260;1530;1447;L;2172;0;0,02;0,33817506;10813643;0,4016;#000000;Histórico
2024;Castelo Branco;163578;108260;1530;1447;PAN;1427;0;0,01;0,33817506;10813643;0,4016;#518196;Histórico
2024;Castelo Branco;163578;108260;1530;1447;PS;37067;2;0,34;0,33817506;10813643;0,4016;#FFC0CB;Histórico
2024;Coimbra;371769;242140;4797;2558;AD;74040;3;0,31;0,348681574;10813643;0,4016;#FFA500;Histórico
2024;Coimbra;371769;242140;4797;2558;BE;12371;0;0,05;0,348681574;10813643;0,4016;#db0812;Histórico
2024;Coimbra;371769;242140;4797;2558;CDU;6819;0;0,03;0,348681574;10813643;0,4016;#006699;Histórico
2024;Coimbra;371769;242140;4797;2558;CH;37428;2;0,15;0,348681574;10813643;0,4016;#201f58;Histórico
2024;Coimbra;371769;242140;4797;2558;IL;9592;0;0,04;0,348681574;10813643;0,4016;#00aeee;Histórico
2024;Coimbra;371769;242140;4797;2558;L;6890;0;0,03;0,348681574;10813643;0,4016;#000000;Histórico
2024;Coimbra;371769;242140;4797;2558;PAN;3839;0;0,02;0,348681574;10813643;0,4016;#518196;Histórico
2024;Coimbra;371769;242140;4797;2558;PS;79120;4;0,33;0,348681574;10813643;0,4016;#FFC0CB;Histórico
2024;Évora;133400;89387;1252;791;AD;20051;1;0,22;0,329932534;10813643;0,4016;#FFA500;Histórico
2024;Évora;133400;89387;1252;791;BE;3816;0;0,04;0,329932534;10813643;0,4016;#db0812;Histórico
2024;Évora;133400;89387;1252;791;CDU;9771;0;0,11;0,329932534;10813643;0,4016;#006699;Histórico
2024;Évora;133400;89387;1252;791;CH;17850;1;0,2;0,329932534;10813643;0,4016;#201f58;Histórico
2024;Évora;133400;89387;1252;791;IL;2228;0;0,02;0,329932534;10813643;0,4016;#00aeee;Histórico
2024;Évora;133400;89387;1252;791;L;1774;0;0,02;0,329932534;10813643;0,4016;#000000;Histórico
2024;Évora;133400;89387;1252;791;PAN;1001;0;0,01;0,329932534;10813643;0,4016;#518196;Histórico
2024;Évora;133400;89387;1252;791;PS;29310;1;0,33;0,329932534;10813643;0,4016;#FFC0CB;Histórico
